article_id,study_id,citation,citation_full,authors,title,year,journal,pub_type,email,suppl_articles,country,easting,northing,KPG_zone,site_id,soil_text_class,USDA_soil_class,FAO_soil_class,soil_comments,field_hist_descr,descr_field_history,interv_start,interv_end,last_meas_month,last_meas_year,total_months,interv_type,multiple_interv_codes,treatments,treatment_details,study_design,experimental_design,spatial_replic,temporal_replic,outcome,sampling_equip,open_closed,transp_opaque,sampling_equip_descr,quantif_method,comments,reviewer
,g,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,397474,6252661,Csb,Site 7,Sandy loam,,,,Yes,11 years in CTF,July,2015,August,2015,2,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Esperance, Australia was used to find UTM",AIB
,h,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,397474,6252661,Csb,Site 8,Sandy loam,,,,Yes,11 years in CTF,July,2015,September,2015,3,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Esperance, Australia was used to find UTM",AIB
,j,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,396447,6950728,Cfa,Site 10,Clay,,,,Yes,12 years in CTF,September,2013,March,2014,7,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Toowoomba, Australia was used to find UTM. Soil type cracking black clay. ",AIB
,k,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,396447,6950728,Cfa,Site 11,Clay,,,,Yes,13 years in CTF,May,2015,November,2015,7,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Toowoomba, Australia was used to find UTM. Soil type cracking black clay. ",AIB
,l,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,396447,6950728,Cfa,Site 12,Clay,,,,Yes,14 years in CTF,October,2015,March,2016,6,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Toowoomba, Australia was used to find UTM. Soil type cracking black clay. ",AIB
,m,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,396447,6950728,Cfa,Site 13,Clay,,,,Yes,15 years in CTF,July,2016,November,2016,5,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Toowoomba, Australia was used to find UTM. Soil type cracking black clay. ",AIB
,n,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,380805,6927091,Cfa,Site 14,Clay,,,,Yes,6 years in CTF,June,2014,October,2014,5,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Felton, Australia was used to find UTM. Soil type cracking black clay. ",AIB
,o,Tullberg (2018),"Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C. Controlled traffic farming effects on soil emissions of nitrous oxide and methane. Soil & Tillage Research. 2018: 176; 18-25.","Tullberg J, Antille DL, Bluett C, Eberhard J, Scheer C",Controlled traffic farming effects on soil emissions of nitrous oxide and methane,2018,Soil & Tillage Research,Article,jtullb@bigpond.net.au,,Australia,380805,6927091,Cfa,Site 15,Clay,,,,Yes,7 years in CTF,May,2015,October,2015,6,Multiple-intervention,"Chemical fertilizer, Other",3,"CTF fields always have heavily-trafficked permanent traffic lanes and
non-trafficked beds, but for the purposes of this experiment an additional
“random” wheeltrack was imposed on the permanent crop beds to mimic
traffic impact in non-controlled (random) traffic farming. This was installed
during the seeding operation, when growers were asked to make a single
tractor and seeder unit pass along a 50 m length of crop bed, 0.8-1.0 m away
from the permanent lanes, with all soil-engaging components lifted clear of
the soil. This was carried out immediately before seeding the site normally,
travelling on the permanent lanes, leaving two seeded 0.48–0.65 m wide
“random” wheeltracks on the permanent beds.
This layout was used on all sites with minor variations depending on
grower equipment. It provided 2 sets of the 3 treatments with space for 4
replicate chambers (2 on each wheeltrack) with minimum additional traffic
damage to the long-term non-trafficked cropping beds of controlled traffic
farms. In all cases, the site was positioned on permanent traffic lanes that
would not be required for in-crop spraying or fertiliser spreading operations,
which normally use every 3rd set of permanent traffic lanes.",CI,Randomized Complete Block,4 per treatment,No,"CH4, N2O",,Closed,,"GHG fluxes were measured using the closed chamber technique (Chadwick et al., 2014) and quality criteria as outlined by de Klein and
Harvey (2012), and Parkin and Venterea (2010). This method uses a gastight
chamber, which encloses a fixed surface area of soil for a given time
interval. The chamber consists of a frame driven 80–100 mm into the soil
and a headspace or lid that is fixed to the frame during sampling periods, but
removed at other times. Chamber enclosure is achieved by a sealed gasket at
the lower edge of the lid.
Chambers of 2 types were used during this work:
• Cylindrical chambers: these were 400 mm lengths of 220 mm diameter
plastic pipe, the bottom edge of which was chamfered on the outside to
facilitate insertion to a depth of 80–100 mm. Tight-fitting lids could be
installed during sampling periods, and these were fitted with a 4 mm
diameter pipe and on/off tap for gas sampling.
• Rectangular chambers: these had a 450 _ 650 mm base, 100 mm deep,
fabricated from 2 mm stainless steel to fit the removable head spaces.
The head spaces were 50 l rectangular white plastic crates fitted with a
septum for gas sampling with a hypodermic syringe. Head spaces were
located on the base by stainless steel lugs and retained by strong elastic
cords to partially compress a 12 mm polyurethane foam sealing strip.
The rectangular chambers normally spanned at least one crop row.","Gas samples later analyzed for N2O and CH4
concentrations using a gas chromatograph (Shimadzu GC-2014, Kyoto, Japan).","Location Felton, Australia was used to find UTM. Soil type cracking black clay. ",AIB
292,a,van Groenigen (2004),"van Groenigen JW, Kasper GJ, Velthof GL, van den Pol-van Dasselaar Q, Kuikman PJ. Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications. Plant and Soil. 2004: 263; 101-111.","van Groenigen JW, Kasper GJ, Velthof GL, van den Pol-van Dasselaar Q, Kuikman PJ",Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,2004,Plant and Soil,Article,JanWillem.vanGroenigen@wur.nl oxide,,Netherlands,683969,5762235,Cfb,Site 1,Loamy sand,,,"sandy soil (typic endoaquoll; 2% clay, 23% silt,
75% sand and 4% organic matter in the top 25 cm)
near Wageningen in the center of the Netherlands",No,,May,2001,November,2001,7,Multiple-intervention,"Organic fertilizer, chemical fertilizer",12,"At the sandy soil, plot sizes
were 15 _ 4.5 m. Apart
from a zero-N treatment, the treatments involved four
rates of fertilizer (calcium ammonium nitrate, CAN),
up to 188 kg N ha_1, representing 50, 75, 100 and
125% of advised fertilizer application for silage maize
in the Netherlands. Second, four rates of cattle slurry
(up to 261 kg N ha_1, representing 50, 75, 100 and
125% of advised slurry N application). Third, three
combinations of fertilizer and slurry, each adding up
to 100% of advised N application (Tables 1 and 2).
The application rates of slurry were estimated on the
basis of average slurry composition from the respective
farms, the real N application rates of slurry were
calculated afterwards from the measured N contents
of the applied slurry. Dry matter contents of the slurries
were 99.0 kg_1. Although
no pH measurements were taken, typical pH values
for this type of slurry are known to vary around 7
(Velthof et al., 2003). Phosphorus and potassium were
applied to all treatments according to fertilizer recommendations.",CI,Randomized Complete Block,3 per treatment,No,N2O,,Closed,Opaque,"The flux chambers consisted of
PVC cylinders with a diameter of 20 cm and a height of 22 cm. The chambers were placed unto permanent
rings that were inserted gently into the soil to a
depth of approx. 2 cm, and the height of the cylinder
above the surface was measured.","The N2O fluxes were measured using vented
closed flux chambers and a photo-acoustic infra-red
gas analyzer (Velthof and Oenema, 1995; Yamulki
and Jarvis, 1999).
","Location Wageningen, Netherlands was used to find UTM. ",AIB
,b,van Groenigen (2004),"van Groenigen JW, Kasper GJ, Velthof GL, van den Pol-van Dasselaar Q, Kuikman PJ. Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications. Plant and Soil. 2004: 263; 101-111.","van Groenigen JW, Kasper GJ, Velthof GL, van den Pol-van Dasselaar Q, Kuikman PJ",Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,2004,Plant and Soil,Article,JanWillem.vanGroenigen@wur.nl oxide,,Netherlands,688880,5899238,Cfb,Site 2,Silty clay loam,,,"heavy clay (typic endoaquept; 39% clay, 53% silt,
8% sand and 6.4% organic matter in the top 25 cm)
near Leeuwarden in the north of the Netherlands.",No,,May,2001,November,2001,7,Multiple-intervention,"Organic fertilizer, chemical fertilizer",12,"Plot sizes were 10 _ 4.5 m. Apart
from a zero-N treatment, the treatments involved four
rates of fertilizer (calcium ammonium nitrate, CAN),
up to 188 kg N ha_1, representing 50, 75, 100 and
125% of advised fertilizer application for silage maize
in the Netherlands. Second, four rates of cattle slurry
(up to 261 kg N ha_1, representing 50, 75, 100 and
125% of advised slurry N application). Third, three
combinations of fertilizer and slurry, each adding up
to 100% of advised N application (Tables 1 and 2).
The application rates of slurry were estimated on the
basis of average slurry composition from the respective
farms, the real N application rates of slurry were
calculated afterwards from the measured N contents
of the applied slurry. The
N content of the slurry used on the sandy soil was
4.5 g kg_1, of which 55% was organic N and 45% was
NH4-N. For the clay soil the total N content of the
slurry was 4.1 g kg_1, of which 54% was organic N
and 46% NH4-N. Dry matter contents of the slurries
were 91.7 g kg_1. Although
no pH measurements were taken, typical pH values
for this type of slurry are known to vary around 7
(Velthof et al., 2003). Phosphorus and potassium were
applied to all treatments according to fertilizer recommendations.",CI,Randomized Complete Block,3 per treatment,No,N2O,,Closed,Opaque,"The flux chambers consisted of
PVC cylinders with a diameter of 20 cm and a height of 22 cm. The chambers were placed unto permanent
rings that were inserted gently into the soil to a
depth of approx. 2 cm, and the height of the cylinder
above the surface was measured.","The N2O fluxes were measured using vented
closed flux chambers and a photo-acoustic infra-red
gas analyzer (Velthof and Oenema, 1995; Yamulki
and Jarvis, 1999).","Location Leeuwarden, Netherlands was used to find UTM. ",AIB
